time,temperature,humidity
2024-01-09 01:43:35.120312,21.5,47.8
2024-01-09 01:44:35.122926,21.5,47.8
2024-01-09 01:45:35.125182,21.5,47.9
2024-01-09 01:46:35.127123,21.5,47.9
2024-01-09 01:47:35.129294,21.5,47.9
2024-01-09 01:48:35.131712,21.5,47.9
2024-01-09 01:49:35.133768,21.5,47.8
2024-01-09 01:50:35.136207,21.5,47.9
2024-01-09 01:51:35.138122,21.5,47.9
2024-01-09 01:52:35.140040,21.5,47.9
2024-01-09 01:53:35.141634,21.5,47.9
2024-01-09 01:54:35.144140,21.5,47.9
2024-01-09 01:55:35.145924,21.4,48
2024-01-09 01:56:35.148359,21.4,47.9
2024-01-09 01:57:35.150620,21.4,48
2024-01-09 01:58:35.152219,21.4,47.9
2024-01-09 01:59:35.154011,21.4,48
2024-01-09 02:00:35.155420,21.4,47.9
2024-01-09 02:01:35.156852,21.4,47.9
2024-01-09 02:02:35.160240,21.4,48
2024-01-09 02:03:35.165632,21.4,48
2024-01-09 02:04:35.186851,21.4,48
2024-01-09 02:05:35.208638,21.4,48
2024-01-09 02:06:35.237166,21.4,48
2024-01-09 02:07:35.256147,21.4,48
2024-01-09 02:08:35.269165,21.4,48
2024-01-09 02:09:35.286986,21.4,48.1
2024-01-09 02:10:35.304591,21.4,48.1
2024-01-09 02:11:35.318611,21.4,48.1
2024-01-09 02:12:35.332509,21.4,48
2024-01-09 02:13:35.346823,21.4,48
2024-01-09 02:14:35.360170,21.3,48
2024-01-09 02:15:35.376925,21.3,48
2024-01-09 02:16:35.391362,21.3,48
2024-01-09 02:17:35.405546,21.3,48.1
2024-01-09 02:18:35.419241,21.3,48
2024-01-09 02:19:35.434255,21.3,48
2024-01-09 02:20:35.445471,21.3,48.1
2024-01-09 02:21:35.474088,21.3,48
2024-01-09 02:22:35.488620,21.3,48.1
2024-01-09 02:23:35.503630,21.3,48
2024-01-09 02:24:35.518745,21.3,48.2
2024-01-09 02:25:35.533877,21.3,48.2
2024-01-09 02:26:35.549896,21.3,48.1
